iter	Passed	Remaining
401	4588	6824
402	4590	6800
403	4592	6775
404	4594	6750
405	4600	6730
406	4602	6706
407	4605	6681
408	4607	6657
409	4609	6633
410	4634	6642
411	4637	6619
412	4640	6595
413	4643	6572
414	4647	6551
415	4655	6535
416	4659	6513
417	4677	6512
418	4684	6495
419	4686	6472
420	4689	6449
421	4691	6425
422	4696	6406
423	4698	6383
424	4700	6359
425	4703	6337
426	4705	6314
427	4707	6291
428	4712	6272
429	4714	6250
430	4717	6228
431	4720	6206
432	4723	6184
433	4726	6164
434	4783	6212
435	4785	6190
436	4788	6168
437	4794	6151
438	4796	6129
439	4798	6107
440	4800	6085
441	4803	6063
442	4809	6047
443	4814	6028
444	4816	6007
445	4818	5985
446	4828	5973
447	4830	5952
448	4832	5930
449	4835	5910
450	4838	5890
451	4841	5870
452	4844	5849
453	4847	5829
454	4850	5809
455	4860	5797
456	4862	5778
457	4866	5758
458	4887	5760
459	4890	5740
460	4892	5720
461	4894	5699
462	4896	5679
463	4899	5659
464	4903	5641
465	4905	5621
466	4908	5602
467	4910	5582
468	4913	5563
469	4925	5554
470	4957	5568
471	4960	5548
472	4963	5530
473	4967	5512
474	4969	5492
475	4974	5476
476	4980	5460
477	4982	5441
478	4985	5422
479	4987	5402
480	4989	5383
481	5003	5377
482	5006	5358
483	5012	5344
484	5015	5325
485	5017	5306
486	5020	5288
487	5024	5271
488	5027	5253
489	5029	5235
490	5033	5217
491	5036	5200
492	5042	5185
493	5053	5176
494	5057	5159
495	5059	5141
496	5107	5168
497	5109	5150
498	5111	5132
499	5113	5113
500	5122	5101
501	5124	5083
502	5126	5065
503	5128	5047
504	5130	5029
505	5186	5063
506	5189	5045
507	5191	5027
508	5193	5010
509	5196	4992
510	5202	4978
511	5205	4961
512	5207	4943
513	5210	4926
514	5219	4915
515	5223	4899
516	5225	4881
517	5227	4864
518	5236	4853
519	5238	4835
520	5241	4819
521	5247	4804
522	5250	4789
523	5253	4771
524	5255	4754
525	5257	4737
526	5263	4724
527	5266	4707
528	5270	4692
529	5276	4679
530	5313	4693
531	5316	4676
532	5318	4659
533	5320	4643
534	5334	4636
535	5336	4619
536	5339	4603
537	5347	4592
538	5350	4575
539	5353	4560
540	5356	4544
541	5413	4574
542	5418	4560
543	5420	4544
544	5427	4531
545	5430	4515
546	5433	4499
547	5435	4483
548	5440	4469
549	5445	4455
550	5448	4439
551	5452	4424
552	5482	4431
553	5484	4415
554	5492	4404
555	5495	4388
556	5498	4372
557	5500	4357
558	5508	4345
559	5512	4330
560	5564	4354
561	5566	4338
